,1. open,2. high,3. low,4. close,5. volume
2025-02-20,415.29,419.31,412.54,416.13,23508728.0
2025-02-19,407.88,415.49,407.65,414.77,24114197.0
2025-02-18,408.0,410.597,406.5,409.64,21423051.0
2025-02-14,407.79,408.91,405.88,408.43,22758464.0
2025-02-13,407.0,411.0,406.36,410.54,23891731.0
2025-02-12,407.21,410.75,404.3673,409.04,19121734.0
2025-02-11,409.64,412.49,409.3,411.44,18140592.0
2025-02-10,413.71,415.4624,410.92,412.22,20817919.0
2025-02-07,416.48,418.65,408.1,409.75,22886844.0
2025-02-06,414.0,418.2,414.0,415.82,16309755.0
2025-02-05,412.35,413.827,410.4,413.29,16336188.0
2025-02-04,412.685,413.9199,409.74,412.37,20532096.0
2025-02-03,411.6,415.41,408.66,410.92,25679149.0
2025-01-31,418.98,420.69,414.91,415.06,34223388.0
2025-01-30,418.77,422.86,413.16,414.99,54586260.0
2025-01-29,446.69,446.88,440.4,442.33,23581370.0
2025-01-28,434.6,448.38,431.38,447.2,23491703.0
2025-01-27,424.01,435.2,423.5,434.56,35647805.0
2025-01-24,445.16,446.65,441.4,444.06,15549453.0
2025-01-23,442.0,446.75,441.5048,446.71,18389270.0
2025-01-22,437.56,447.27,436.0,446.2,27803811.0
2025-01-21,430.2,430.8999,425.595,428.5,26085703.0
2025-01-17,434.085,434.48,428.17,429.03,26197507.0
2025-01-16,428.695,429.49,424.39,424.58,15300023.0
2025-01-15,419.13,428.15,418.265,426.31,19637838.0
2025-01-14,417.81,419.74,410.72,415.67,16935856.0
2025-01-13,415.235,418.5,412.29,417.19,17604780.0
2025-01-10,424.63,424.71,415.02,418.95,20201132.0
2025-01-08,423.46,426.97,421.54,424.56,15054575.0
2025-01-07,429.0,430.65,420.8,422.37,18139065.0
2025-01-06,428.0,434.32,425.4774,427.85,20573648.0
2025-01-03,421.08,424.03,419.54,423.35,16662943.0
2025-01-02,425.53,426.07,414.85,418.58,16896469.0
2024-12-31,426.1,426.73,420.66,421.5,13246509.0
2024-12-30,426.06,427.55,421.9,424.83,13158703.0
2024-12-27,434.6,435.22,426.35,430.53,18117713.0
2024-12-26,439.08,440.94,436.63,438.11,8199927.0
2024-12-24,434.65,439.6,434.19,439.33,7164543.0
2024-12-23,436.74,437.65,432.83,435.25,19152519.0
2024-12-20,433.11,443.74,428.63,436.6,64263694.0
2024-12-19,441.62,443.1834,436.32,437.03,22963681.0
2024-12-18,451.32,452.65,437.02,437.39,24444545.0
2024-12-17,451.01,455.29,449.57,454.46,22733494.0
2024-12-16,447.27,452.18,445.28,451.59,23598834.0
2024-12-13,448.435,451.43,445.58,447.27,20177833.0
2024-12-12,449.11,456.1648,449.11,449.56,20834779.0
2024-12-11,444.05,450.35,444.05,448.99,19200208.0
2024-12-10,444.39,449.62,441.6,443.33,18469459.0
2024-12-09,442.6,448.33,440.5,446.02,19144388.0
2024-12-06,442.3,446.1,441.7703,443.57,18821002.0
2024-12-05,437.92,444.66,436.171,442.62,21697775.0
2024-12-04,433.03,439.67,432.63,437.42,26009429.0
2024-12-03,429.84,432.47,427.74,431.2,18301987.0
2024-12-02,421.57,433.0,421.31,430.98,20207223.0
2024-11-29,420.09,424.88,417.8,423.46,16271921.0
2024-11-27,425.105,427.2299,422.02,422.99,18332444.0
2024-11-26,419.585,429.0414,418.85,427.99,23458889.0
2024-11-25,418.38,421.08,414.85,418.79,27691090.0
2024-11-22,411.365,417.4,411.06,417.0,24814626.0
2024-11-21,419.5,419.78,410.2887,412.87,20780162.0
2024-11-20,416.87,417.29,410.58,415.49,19191655.0
2024-11-19,413.11,417.94,411.55,417.79,18133529.0
2024-11-18,414.87,418.4037,412.1,415.76,24742013.0
2024-11-15,419.82,422.8,413.64,415.0,28247644.0
2024-11-14,425.0,428.17,420.0,426.89,30246881.0
2024-11-13,421.64,429.325,418.21,425.2,21502185.0
2024-11-12,418.25,424.44,417.2,423.03,19401204.0
2024-11-11,422.515,424.81,416.0,418.01,24503321.0
2024-11-08,425.32,426.5,421.78,422.54,16891414.0
2024-11-07,421.28,426.85,419.88,425.43,19901782.0
2024-11-06,412.42,420.45,410.52,420.18,26681842.0
2024-11-05,408.37,414.9,408.08,411.46,17626011.0
2024-11-04,409.8,410.415,405.5713,408.46,19672286.0
2024-11-01,409.01,415.5,407.5,410.37,24230442.0
